"","x"
"1156",83.09438324
"1157",82.50640869
"1158",81.8844986
"1159",83.8765564
"1160",85.05757141
"1161",86.18972015
"1162",85.87169647
"1163",89.08757782
"1164",93.87302399
"1165",98.10664368
"1166",104.7157288
"1167",106.2927628
"1168",106.4650345
"1169",105.6246643
"1170",107.5648346
"1171",108.5179214
"1172",110.5164719
"1173",109.3174744
"1174",108.658783
"1175",107.851532
"1176",106.5155487
"1177",101.7385941
"1178",98.6076355
"1179",94.0917511
"1180",93.7518158
"1181",93.32582855
"1182",95.01843262
"1183",99.24016571
"1184",101.5780869
"1185",101.3254395
"1186",102.5642776
"1187",103.8441315
"1188",105.4988403
"1189",103.2799988
"1190",104.9829788
"1191",104.9901352
"1192",102.2134705
"1193",103.9789658
"1194",104.3173218
"1195",104.4190216
"1196",102.9970169
"1197",101.9795303
"1198",95.95194244
"1199",91.18849182
"1200",67.99398804
"1201",50.46980286
"1202",61.94659042
"1203",79.59965515
"1204",76.9497757
"1205",65.3276062
"1206",55.37833023
"1207",57.05400085
"1208",56.89437103
"1209",58.79319
"1210",60.69200897
"1211",62.91836929
"1212",64.82731628
"1213",65.385849
"1214",67.56510925
"1215",72.18449402
"1216",71.0676651
"1217",71.39505005
"1218",73.98249054
"1219",73.05801392
"1220",72.17771912
"1221",72.48822784
"1222",71.57196808
"1223",71.26350403
"1224",71.09824371
"1225",71.31735992
"1226",71.41222382
"1227",72.46264648
"1228",71.33366394
"1229",72.03662872
"1230",72.09400177
"1231",70.39598846
"1232",69.5814209
"1233",68.31027985
"1234",66.67926788
"1235",65.95366669
"1236",65.9571991
"1237",65.91648102
"1238",66.1656723
"1239",68.31893921
"1240",68.83934784
"1241",69.56628418
"1242",69.64830017
"1243",69.89927673
"1244",70.0562973
"1245",70.31254578
"1246",71.27428436
"1247",73.69179535
"1248",73.94054413
"1249",73.68362427
"1250",74.55030823
"1251",75.97245026
"1252",77.72038269
"1253",78.18914032
"1254",81.58868408
"1255",82.37549591
"1256",81.67392731
"1257",78.26251984
"1258",79.13069916
"1259",79.99326324
"1260",78.26689911
"1261",81.07943726
"1262",80.57469177
"1263",80.24843597
"1264",81.29625702
"1265",81.61152649
"1266",82.86024475
"1267",84.80895996
"1268",84.29385376
"1269",86.72312927
"1270",85.81620789
"1271",84.95990753
"1272",85.79064941
"1273",85.32941437
"1274",86.89115143
"1275",87.48148346
"1276",87.77082825
"1277",87.11299133
"1278",87.45928192
"1279",88.18325043
"1280",86.21547699
"1281",87.04933929
"1282",87.24200439
"1283",88.20298767
"1284",86.69669342
"1285",86.63848114
"1286",87.00406647
"1287",92.32350922
"1288",91.36824036
"1289",92.06944275
"1290",93.72083282
"1291",97.35666656
"1292",99.60523987
"1293",96.57284546
"1294",96.8399353
"1295",95.97742462
"1296",93.26663971
"1297",91.48895264
"1298",91.48339081
"1299",91.26154327
"1300",93.02279663
"1301",91.93434143
"1302",93.1025238
"1303",94.38127899
"1304",95.55420685
"1305",95.25117493
"1306",94.56563568
"1307",93.48000336
"1308",92.56737518
"1309",90.8740921
"1310",90.97885895
